2025-03-02 21:33:38.674 +01:00 [INF] Starting the application...
2025-03-02 21:34:07.373 +01:00 [WRN] Failed to determine the https port for redirect.
2025-03-02 21:34:07.504 +01:00 [INF] HTTP POST /api/notes responded 400 in 133.2374 ms
2025-03-02 21:34:40.233 +01:00 [INF] HTTP GET /api/notes responded 200 in 410.6539 ms
2025-03-02 22:38:57.089 +01:00 [INF] HTTP POST /api/notes responded 400 in 3.0509 ms
2025-03-02 22:39:18.854 +01:00 [INF] HTTP POST /api/notes responded 400 in 2.8631 ms
2025-03-02 22:40:06.297 +01:00 [INF] HTTP POST /api/notes responded 400 in 1.2411 ms
2025-03-02 22:47:02.349 +01:00 [INF] HTTP POST /api/notes responded 400 in 0.8425 ms
2025-03-02 22:47:24.860 +01:00 [INF] Starting the application...
2025-03-02 22:47:31.904 +01:00 [WRN] Failed to determine the https port for redirect.
2025-03-02 22:47:32.433 +01:00 [INF] HTTP POST /api/notes responded 201 in 530.8104 ms
2025-03-02 22:48:12.492 +01:00 [INF] HTTP POST /api/notes responded 201 in 44.2459 ms
2025-03-02 22:48:26.817 +01:00 [INF] HTTP GET /api/notes responded 200 in 106.2128 ms
2025-03-02 22:48:56.140 +01:00 [INF] HTTP GET /api/notes responded 200 in 1.9009 ms
